course,isbn1,publisher1,author1,year1,title1,type1a,buyrent1a,option1a,price1a,type1b,buyrent1b,option1b,price1b,type1c,buyrent1c,option1c,price1c,type1d,buyrent1d,option1d,price1d,type1e,buyrent1e,option1e,price1e,title2,type2a,buyrent2a,option2a,price2a,type2b,buyrent2b,option2b,price2b,type2c,buyrent2c,option2c,price2c,type2d,buyrent2d,option2d,price2d,type2e,buyrent2e,option2e,price2e,title3,type3a,buyrent3a,option3a,price3a,type3b,buyrent3b,option3b,price3b,type3c,buyrent3c,option3c,price3c,type3d,buyrent3d,option3d,price3d,type3e,buyrent3e,option3e,price3e
All : 2016 Fall : Course ID 94567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All : 2016 Fall : STS : 300 : 101 : Course ID 94565,9781599413952, Foundation Press, Murray ,2009,"Legal Writing & Analysis
		            	",PAPERBACK ,BUY ,NEW ,$144.00 ,PAPERBACK ,BUY ,USED ,$108.00 ,PAPERBACK ,RENT ,USED ,$57.60 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All : 2016 Fall : STS : 210 : 101 : Course ID 94561,9780205711468, Pearson, Wade ,2011,"Psychology
		            	",Hardcover ,BUY ,NEW ,$205.25 ,Hardcover ,BUY ,USED ,$154.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All : 2016 Fall : STS : 201 : 105 : Course ID 94559,9780393264302," W. W. Norton & Company, Incorporated", Ferris ,2016,"Real World: Intro to Sociology (w/IQ Reg Access )
		            	",PAPERBACK ,BUY ,NEW ,$109.25 ,PAPERBACK ,BUY ,USED ,$82.00 ,PAPERBACK ,RENT ,USED ,$43.70 ,Digital ,BUY ,,$50.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All : 2016 Fall : Course ID 94571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All : 2016 Fall : STS : 325 : HM1 : Course ID 95199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All : 2016 Fall : STS : 308 : HM1 : Course ID 94570,9780714863610," Phaidon Press, Incorporated", Porritt ,2013,"World We Made
		            	",PAPERBACK ,BUY ,NEW ,$39.95 ,PAPERBACK ,BUY ,USED ,$30.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All : 2016 Fall : STS : 325 : 001 : Course ID 94572," 9780143109259, 9781452270180"," Penguin Group USA Inc, Sage Publications, Incorporated"," Ansari , White "," 2015, 2014","Modern Romance
		            	",PAPERBACK ,BUY ,NEW ,$17.00 ,PAPERBACK ,BUY ,USED ,$12.75 ,PAPERBACK ,RENT ,NEW ,$11.05 ,,,,,,,,,"Family Theories
		            	",PAPERBACK ,BUY ,NEW ,$92.00 ,PAPERBACK ,BUY ,USED ,$69.00 ,PAPERBACK ,RENT ,NEW ,$69.00 ,PAPERBACK ,RENT ,USED ,$36.80 ,Digital ,BUY ,,$74.00 ,,,,,,,,,,,,,,,,,,,,,
All : 2016 Fall : STS : 308 : 001 : Course ID 94569,9780714863610," Phaidon Press, Incorporated", Porritt ,2013,"World We Made
		            	",PAPERBACK ,BUY ,NEW ,$39.95 ,PAPERBACK ,BUY ,USED ,$30.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All : 2016 Fall : STS : 325 : 003 : Course ID 94573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
