newprice2,isbn3,newprice1,title1,author3,usedprice2,usedprice3,course,title2,title3,isbn1,author1,author2,isbn2,usedprice1,newprice3
,,,Legal Writing & Analysis,,,,,,,,,,,,
,,,Legal Writing & Analysis,,,,,,,,,,,,
,,,,,,,,,,,Murray,,,,
,,,,,,,,,,9781599413952,,,,,
,,$144.00,,,,,,,,,,,,,
,,,,,,,,,,,,,,$108.00,
,,,,,,,,,,,,Murray,,,
,,,,,,,,,,,,,9781599413952,,
,,,,Murray,,,,,,,,,,,
,9781599413952,,,,,,,,,,,,,,
,,,,,,,All : 2016 Fall : Course ID 94566,,,,,,,,
,,,,,,,All : 2016 Fall : STS : 221 : 001 : Course ID 94563,,,,,,,,
,,,,,,,All : 2016 Fall : Course ID 94567,,,,,,,,
,,,,,,,All : 2016 Fall : STS : 304 : 001 : Course ID 94568,,,,,,,,
,,,Technology & Society,,,,,,,,,,,,
,,,Technology & Society,,,,,,,,,,,,
,,,,,,,,,,,Johnson,,,,
,,,,,,,,,,,Johnson,,,,
,,,,,,,,,,9780262600736,,,,,
,,,,,,,,,,9780262600736,,,,,
,,$51.25,,,,,,,,,,,,,
,,,,,,,,,,,,,,$38.50,
,,,,,,,,Technology & the Future,,,,,,,
,,,,,,,,Technology & the Future,,,,,,,
,,,,,,,,,,,,Johnson,,,
,,,,,,,,,,,,Johnson,,,
,,,,,,,,,,,,,9780262600736,,
,,,,,,,,,,,,,9780262600736,,
$131.50,,,,,,,,,,,,,,,
,,,,,$98.75,,,,,,,,,,
,,,,Johnson,,,,,,,,,,,
,,,,Johnson,,,,,,,,,,,
,9780262600736,,,,,,,,,,,,,,
,9780262600736,,,,,,,,,,,,,,
,,,,,,,All : 2016 Fall : STS : 308 : 001 : Course ID 94569,,,,,,,,
,,,World We Made,,,,,,,,,,,,
,,,World We Made,,,,,,,,,,,,
,,,,,,,,,,,Porritt,,,,
,,,,,,,,,,9780714863610,,,,,
,,$39.95,,,,,,,,,,,,,
,,,,,,,,,,,,,,$30.00,
,,,,,,,,,,,,Porritt,,,
,,,,,,,,,,,,,9780714863610,,
,,,,Porritt,,,,,,,,,,,
,9780714863610,,,,,,,,,,,,,,
,,,,,,,All : 2016 Fall : Course ID 94571,,,,,,,,
,,,,,,,All : 2016 Fall : STS : 325 : HM1 : Course ID 95199,,,,,,,,
,,,,,,,All : 2016 Fall : STS : 308 : HM1 : Course ID 94570,,,,,,,,
,,,World We Made,,,,,,,,,,,,
,,,World We Made,,,,,,,,,,,,
,,,,,,,,,,,Porritt,,,,
